,Year,Player,POSITION,DRAFT_NUMBER,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,STANDING_REACH_FT_IN,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,Age (Days),DRAFT_NUMBER,G,MP,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK,WS,BPM,Total Minutes,Seasons Played,Average Minutes
0,2000,Speedy Claxton,PG,20,70.5,166.0,72.0,94.5,7' 10.5'',36.0,42.5,10.48,3.06,8188,20,31,1089,.470,.500,.381,.764,22.8,5.4,6.0,3.3,0.2,7.0,,8541,7,1220.142857142857
1,2000,Khalid El-Amin,PG,34,69.0,200.0,73.5,93.0,7' 9'',27.5,32.0,10.59,3.32,7810,34,35,1118,.411,.443,.356,.892,16.0,3.1,5.2,1.7,0.1,4.4,,936,1,936.0
2,2000,A.J. Guyton,PG-SG,32,72.75,175.0,75.75,97.5,8' 1.5'',33.0,37.5,10.55,3.22,8102,32,29,995,.459,.485,.419,.789,19.7,3.1,2.3,1.0,0.4,4.3,,1242,3,414.0
3,2000,Jason Hart,PG,49,73.75,181.0,78.0,97.5,8' 1.5'',29.5,33.5,11.7,3.34,8179,49,32,1083,.411,.460,.330,.734,11.9,3.0,6.5,1.8,0.1,3.6,,5311,9,590.1111111111111
4,2000,Dan Langhi,SF,31,81.0,197.5,80.0,104.0,8' 8'',31.0,34.5,10.85,3.24,8753,31,30,1033,.477,.511,.403,.871,22.1,6.0,0.8,0.4,0.3,5.3,,1248,4,312.0
5,2000,Dan McClintock,C-PF,53,83.0,250.0,85.5,107.0,8' 11'',33.0,35.0,11.52,3.33,8534,53,31,754,.597,.597,0,.682,15.6,6.5,1.2,0.4,2.3,4.5,,58,1,58.0
6,2000,Eduardo Najera,PF-SF,38,78.5,234.5,83.5,104.5,8' 8.5'',28.0,35.0,11.38,3.45,8981,38,34,1162,.455,.500,.220,.688,18.4,9.2,2.1,1.7,0.7,6.3,,11185,12,932.0833333333334
7,2000,Chris Porter,SF-PF,55,77.5,214.0,81.5,103.5,8' 7.5'',28.5,35.0,10.93,3.2,8189,55,26,755,.464,.477,.235,.676,14.6,7.3,1.2,2.0,0.3,4.1,,1145,1,1145.0
8,2000,Lavor Postell,SG,39,76.5,205.0,80.5,101.5,8' 5.5'',33.5,36.5,11.79,3.3,8116,39,33,1155,.428,.463,.294,.809,14.3,6.9,1.8,0.9,0.6,2.2,,443,3,147.66666666666666
9,2000,Michael Redd,SG-SF,43,76.75,214.0,81.0,102.0,8' 6'',27.0,31.0,12.06,3.34,7929,43,30,1004,.436,.474,.315,.776,17.3,6.5,2.1,1.2,0.2,4.0,,20085,12,1673.75
10,2000,Mike Smith,SF,35,78.5,198.0,80.5,103.0,8' 7'',33.0,21.0,11.32,3.22,8895,35,28,1011,.424,.511,.338,.801,20.1,9.4,3.4,1.5,0.9,4.6,,180,1,180.0
11,2000,Jabari Smith,PF-C,45,81.75,240.5,86.5,109.5,9' 1.5'',24.5,30.0,12.45,3.43,8467,45,34,969,.553,.579,.371,.595,12.5,7.0,2.2,0.7,1.0,5.2,,1068,4,267.0
12,2001,Brandon Armstrong,SG,23,75.5,188.0,81.5,99.5,8' 3.5'',30.0,37.0,10.91,3.2,7861,23,31,1027,.447,.484,.384,.826,22.1,3.3,1.5,1.5,0.2,4.8,,700,3,233.33333333333334
13,2001,Shane Battier,SF-PF,6,80.25,229.0,82.5,105.0,8' 9'',29.5,33.0,10.95,3.3,8674,6,39,1363,.471,.536,.419,.796,19.9,7.3,1.8,2.1,2.3,10.1,,29952,13,2304.0
14,2001,Ruben Boumtje-Boumtje,C,49,83.5,245.0,88.0,111.0,9' 3'',26.5,31.0,11.84,3.33,8565,49,33,713,.517,.517,0,.718,9.1,6.8,0.9,0.7,2.4,5.4,,274,3,91.33333333333333
15,2001,Michael Bradley,PF,17,81.5,227.0,85.5,107.0,8' 11'',27.0,30.0,11.11,3.35,8168,17,31,1053,.692,.727,.353,.590,20.8,9.8,2.6,0.9,1.8,6.4,,2019,5,403.8
16,2001,Jamison Brewer,PG,40,74.5,178.0,80.75,102.5,8' 6.5'',26.0,32.5,9.65,3.15,8014,40,32,1035,.469,.534,.227,.529,8.4,7.2,5.8,1.5,0.1,2.9,,464,4,116.0
17,2001,Damone Brown,SF,36,80.25,202.0,83.75,104.5,8' 8.5'',32.0,37.0,11.81,3.27,8238,36,34,1242,.492,.499,.286,.791,16.4,8.8,1.6,1.7,1.4,5.8,,350,4,87.5
18,2001,Omar Cook,PG,31,71.5,189.0,77.5,92.0,7' 8'',31.0,35.5,10.77,3.2,6993,31,29,1107,.360,.424,.309,.742,15.3,3.0,8.7,2.3,0.2,3.2,,214,2,107.0
19,2001,Alton Ford,PF,50,80.25,271.0,82.5,102.5,8' 6.5'',34.5,36.5,11.7,3.16,7479,50,26,663,.432,.462,.265,.609,10.8,5.9,0.7,0.2,0.7,1.2,,521,3,173.66666666666666
20,2001,Joseph Forte,SG,21,75.5,193.0,78.5,100.5,8' 4.5'',26.5,33.0,11.51,3.19,7413,21,33,1145,.450,.476,.377,.853,20.9,6.1,3.5,2.0,0.4,4.8,,123,2,61.5
21,2001,Eddie Griffin,PF-SF,7,81.25,222.0,87.0,110.0,9' 2'',26.5,33.0,11.77,3.21,7115,7,30,979,.429,.469,.320,.734,17.8,10.8,1.6,0.9,4.4,4.6,,6733,5,1346.6
22,2001,Trenton Hassell,SG-SF,29,76.25,205.0,80.0,99.5,8' 3.5'',35.5,37.5,11.57,3.29,8124,29,32,1213,.485,.520,.390,.796,21.7,7.8,4.5,1.2,0.5,4.5,,16266,9,1807.3333333333333
23,2001,Kirk Haston,PF-SF,16,80.0,242.0,84.25,106.0,8' 10'',27.0,31.5,12.25,3.35,8130,16,33,1018,.440,.449,.377,.687,19.0,8.7,1.2,1.1,1.2,4.3,,133,2,66.5
24,2001,Brendan Haywood,C,20,83.75,266.0,90.5,113.5,9' 5.5'',27.0,28.5,12.87,3.5,8387,20,33,901,.592,.592,0,.516,12.3,7.3,1.3,0.5,3.6,5.4,,18647,13,1434.3846153846155
25,2001,Steven Hunter,C-PF,15,82.25,224.0,88.0,108.0,9' 0'',30.5,38.5,11.99,3.15,7631,15,30,808,.592,.592,0,.536,11.4,5.6,0.5,0.2,2.4,3.5,,5973,8,746.625
26,2001,Ken Johnson,C,48,82.75,227.0,88.0,109.5,9' 1.5'',32.5,35.0,11.27,3.12,8456,48,31,916,.578,.578,0,.711,12.5,7.3,0.8,0.4,4.0,6.2,,156,1,156.0
27,2001,Ken Johnson,C,48,82.75,227.0,88.0,109.5,9' 1.5'',32.5,35.0,11.27,3.12,8456,48,31,916,.578,.578,0,.711,12.5,7.3,0.8,0.4,4.0,6.2,,815,1,815.0
28,2001,Joe Johnson,SF-SG,10,78.75,226.0,81.0,105.0,8' 9'',32.5,36.5,12.05,3.4,7509,10,30,873,.468,.476,.443,.747,14.2,6.4,2.6,1.4,0.4,4.1,,44190,18,2455.0
29,2001,Troy Murphy,PF,14,81.75,230.0,83.0,105.5,8' 9.5'',28.5,34.5,11.22,3.43,7817,14,30,1090,.471,.499,.349,.766,21.8,9.2,2.1,0.9,1.7,5.5,,19928,12,1660.6666666666667
30,2001,Jason Richardson,SF-SG,5,76.75,213.0,83.5,102.5,8' 6.5'',32.5,39.5,11.75,3.12,7350,5,33,940,.503,.554,.402,.689,14.7,5.9,2.2,1.2,0.8,6.3,,29255,13,2250.3846153846152
31,2001,Jeryl Sasser,PG-SG,22,77.5,194.0,82.5,103.5,8' 7.5'',29.0,34.0,11.47,3.22,8103,22,29,1011,.394,.437,.287,.718,17.0,8.3,0.8,1.4,0.6,2.9,,1063,2,531.5
32,2001,Kenny Satterfield,PG,53,73.0,176.0,76.5,98.0,8' 2'',28.5,33.0,12.05,3.2,7430,53,35,1203,.387,.415,.333,.788,14.4,4.7,5.1,1.7,0.2,4.6,,1063,2,531.5
33,2001,Bobby Simmons,SF,41,78.25,235.0,84.25,105.0,8' 9'',27.5,34.0,11.69,3.41,7847,41,29,981,.447,.524,.370,.800,16.7,8.6,2.5,0.8,0.1,3.9,,11503,10,1150.3
34,2001,Will Solomon,PG-SG,32,71.75,172.0,81.5,99.5,8' 3.5'',28.5,35.0,11.3,3.22,8625,32,30,998,.397,.421,.377,.788,19.7,2.9,3.4,1.4,0.3,2.9,,1591,2,795.5
35,2001,Jamaal Tinsley,PG,27,72.75,199.0,79.5,97.5,8' 1.5'',28.0,37.5,11.96,3.2,8483,27,31,999,.399,.406,.381,.692,14.3,3.8,6.0,2.5,0.6,4.0,,14410,11,1310.0
36,2001,Rodney White,SF,9,79.5,243.0,83.5,104.5,8' 8.5'',27.5,33.0,12.07,3.47,7873,9,28,865,.487,.533,.347,.713,18.7,6.5,1.5,1.2,0.7,4.4,,3354,4,838.5
37,2002,Robert Archibald,PF-C,31,82.0,250.0,83.75,109.5,9' 1.5'',24.0,27.5,11.34,3.33,8149,31,34,769,.659,.663,.000,.654,10.6,5.5,1.3,0.7,1.1,4.9,,327,2,163.5
38,2002,Lonny Baxter,PF-C,43,78.25,264.0,85.5,107.5,8' 11.5'',28.0,32.5,11.77,3.21,8452,43,35,1005,.545,.547,.000,.623,15.2,8.2,0.8,0.9,2.0,5.8,,1883,4,470.75
39,2002,Carlos Boozer,PF,34,79.75,258.0,86.25,108.5,9' 0.5'',26.5,28.5,10.77,3.31,8015,34,35,993,.665,.667,.000,.754,18.2,8.7,1.1,0.9,0.6,8.5,,26903,13,2069.4615384615386
40,2002,Caron Butler,SF-SG,10,77.25,222.0,83.5,103.5,8' 7.5'',27.0,31.0,12.15,3.33,8133,10,34,1223,.486,.500,.400,.779,20.3,7.5,3.0,2.1,0.4,5.7,,28263,14,2018.7857142857142
41,2002,Rasual Butler,SF,52,78.75,198.0,84.0,105.5,8' 9.5'',31.5,37.5,11.54,3.29,8568,52,32,1252,.434,.464,.361,.855,20.9,8.8,1.4,1.3,1.3,5.5,,17244,13,1326.4615384615386
42,2002,Mike Dunleavy,SF,3,80.0,230.0,81.0,106.0,8' 10'',24.5,29.0,11.55,3.3,8315,3,35,1133,.483,.596,.378,.681,17.3,7.2,2.1,2.3,0.7,7.2,,27351,15,1823.4
43,2002,Mike Dunleavy,SF,3,80.0,230.0,81.0,106.0,8' 10'',24.5,29.0,11.55,3.3,8315,3,35,1133,.483,.596,.378,.681,17.3,7.2,2.1,2.3,0.7,7.2,,8129,11,739.0
44,2002,Corsley Edwards,PF,57,79.25,285.0,82.75,106.5,8' 10.5'',28.5,33.0,12.18,3.31,8490,57,32,992,.504,.504,0,.761,15.4,8.7,1.0,1.4,1.5,6.4,,110,1,110.0
45,2002,Melvin Ely,PF,12,81.0,240.0,88.0,111.0,9' 3'',26.0,29.0,11.96,3.35,8912,12,28,999,.563,.564,.000,.735,23.3,9.1,1.8,0.7,3.1,6.7,,5998,9,666.4444444444445
46,2002,Drew Gooden,PF,4,80.75,227.0,84.5,106.5,8' 10.5'',29.0,33.0,11.81,3.19,7959,4,37,1119,.504,.519,.278,.755,19.8,11.4,2.0,1.8,1.4,6.6,,20092,14,1435.142857142857
47,2002,Marcus Haislip,PF,13,80.5,221.0,84.0,107.0,8' 11'',33.5,36.5,11.35,3.21,8412,13,25,839,.518,.551,.326,.721,16.7,6.7,1.0,0.4,1.8,3.5,,850,4,212.5
48,2002,Randy Holcomb,SF-PF,56,79.0,225.0,85.0,105.0,8' 9'',29.5,35.5,12.85,3.22,8643,56,33,1067,.516,.539,.300,.635,16.9,9.0,1.7,0.7,1.0,4.5,,10,1,10.0
49,2002,Ryan Humphrey,PF-SF,19,78.0,223.0,84.0,104.5,8' 8.5'',31.5,37.5,11.75,3.2,8629,19,31,1103,.489,.489,.500,.598,18.9,10.9,2.6,1.1,2.8,5.9,,772,3,257.3333333333333
50,2002,Jared Jeffries,PF,11,82.0,230.0,84.5,109.0,9' 1'',26.0,30.0,11.73,3.4,8020,11,36,1175,.457,.472,.380,.667,15.0,7.6,2.1,1.5,1.3,5.0,,13551,11,1231.909090909091
51,2002,Kareem Rush,SG-SF,20,76.75,199.0,81.75,103.5,8' 7.5'',26.0,30.0,11.86,3.22,8360,20,36,1149,.426,.444,.405,.769,19.8,5.2,2.5,1.1,0.6,4.7,,5962,7,851.7142857142857
52,2002,John Salmons,SF-SG,26,77.5,207.0,82.25,104.0,8' 8'',30.5,34.5,11.35,3.25,8767,26,32,1077,.461,.509,.310,.842,13.1,6.0,6.1,1.8,0.6,4.9,,23658,13,1819.8461538461538
53,2002,Tamar Slay,SF,53,78.75,203.0,83.5,104.0,8' 8'',32.5,38.0,10.94,3.09,8152,53,30,1031,.446,.468,.419,.731,18.9,5.4,2.4,1.6,0.5,3.2,,516,3,172.0
54,2002,Darius Songaila,PF,49,80.0,240.0,85.0,108.5,9' 0.5'',24.5,29.5,11.69,3.52,8834,49,34,1036,.523,.529,.375,.854,17.9,8.1,2.6,1.3,0.8,5.2,,9234,8,1154.25
55,2002,Dajuan Wagner,PG-SG,6,72.75,193.0,74.0,99.0,8' 3'',28.0,35.0,12.03,3.22,6999,6,36,1146,.410,.453,.317,.722,21.2,2.5,3.6,1.2,0.6,4.1,,2203,4,550.75
56,2002,Chris Wilcox,PF-C,8,80.25,218.0,85.0,107.5,8' 11.5'',31.0,34.5,11.43,3.16,7573,8,36,866,.504,.507,.000,.585,12.0,7.1,1.5,0.8,1.5,4.0,,12449,11,1131.7272727272727
57,2002,Frank Williams,PG,25,73.5,212.0,80.0,100.5,8' 4.5'',26.0,31.0,11.73,3.29,8115,25,35,1135,.393,.423,.340,.808,16.2,4.7,4.4,2.0,0.3,3.8,,948,3,316.0
58,2002,Jay Williams,PG,2,72.25,197.0,75.5,97.0,8' 1'',28.5,36.0,10.34,3.09,7945,2,35,1175,.457,.536,.383,.676,21.3,3.5,5.3,2.2,0.1,6.3,,1960,1,1960.0
59,2002,Vincent Yarbrough,SF,32,77.5,202.0,84.5,104.5,8' 8.5'',30.0,34.0,11.7,3.32,7776,32,31,1097,.425,.462,.359,.687,18.1,7.5,2.8,1.9,0.8,3.6,,1383,1,1383.0
60,2003,Carmelo Anthony,SF,3,78.25,233.0,84.0,105.5,8' 9.5'',30.5,33.5,11.4,3.15,7114,3,35,1274,.453,.496,.337,.706,22.2,10.0,2.2,1.6,0.9,5.8,,43449,19,2286.7894736842104
61,2003,Troy Bell,PG,16,72.25,178.0,77.0,97.5,8' 1.5'',34.5,41.0,10.89,3.06,8735,16,31,1198,.441,.484,.402,.847,25.2,4.6,3.7,2.3,0.2,6.2,,34,1,34.0
62,2003,Keith Bogans,SG,43,76.25,213.0,81.25,101.0,8' 5'',29.5,35.0,11.43,3.25,8557,43,36,1068,.456,.528,.383,.738,15.7,3.8,2.7,1.2,0.1,5.0,,14514,11,1319.4545454545455
63,2003,Matt Bonner,PF-SF,45,80.5,242.0,80.75,105.5,8' 9.5'',27.0,32.0,11.52,3.32,8520,45,33,1037,.510,.531,.474,.733,15.2,6.1,1.5,1.1,0.6,5.5,,13369,12,1114.0833333333333
64,2003,Chris Bosh,PF,4,82.25,225.0,87.5,109.0,9' 1'',30.5,33.0,11.8,3.3,7049,4,31,960,.560,.575,.478,.730,15.6,9.0,1.2,1.0,2.2,6.4,,31911,13,2454.6923076923076
65,2003,Nick Collison,PF,12,80.75,255.0,85.5,108.0,9' 0'',28.0,33.0,11.62,3.28,8721,12,38,1232,.554,.571,.342,.635,18.5,10.0,2.2,1.2,1.9,9.1,,18587,14,1327.642857142857
66,2003,Brian Cook,PF-SF,24,81.5,234.0,86.0,109.0,9' 1'',25.0,29.0,11.87,3.45,8759,24,30,940,.479,.526,.303,.820,20.0,7.6,2.0,0.7,0.4,5.6,,5630,9,625.5555555555555
67,2003,T.J. Ford,PG,8,71.0,162.0,71.5,93.5,7' 9.5'',32.5,39.5,11.45,3.2,7414,8,33,1110,.401,.429,.265,.820,15.0,3.9,7.7,2.0,0.2,4.3,,11869,8,1483.625
68,2003,Willie Green,SG-PG,41,74.5,201.0,79.25,100.0,8' 4'',28.5,28.5,11.86,3.19,8268,41,30,1021,.490,.519,.374,.805,22.6,4.9,2.5,1.3,0.4,5.8,,14784,12,1232.0
69,2003,Travis Hansen,SG,37,76.5,200.0,78.5,100.5,8' 4.5'',31.5,35.0,10.72,3.18,9260,37,32,1025,.441,.480,.340,.799,16.8,4.8,2.4,0.9,0.6,4.6,,508,1,508.0
70,2003,Kirk Hinrich,PG-SG,7,74.75,186.0,78.0,98.5,8' 2.5'',29.0,33.5,10.98,3.1,8062,7,37,1241,.475,.532,.406,.704,17.3,3.8,3.5,1.9,0.4,6.3,,27009,13,2077.6153846153848
71,2003,Josh Howard,SF-SG,29,77.25,202.0,86.0,105.5,8' 9.5'',33.0,36.5,10.89,3.09,8543,29,31,1002,.477,.528,.373,.833,19.5,8.3,1.9,2.1,1.5,7.0,,15309,10,1530.9
72,2003,Brandon Hunter,PF,56,78.5,266.0,86.75,105.5,8' 9.5'',32.5,35.0,11.13,3.21,8749,56,30,1146,.523,.545,.297,.594,21.5,12.6,2.6,0.8,1.2,3.7,,628,2,314.0
73,2003,James Jones,SF,49,79.25,218.0,86.5,107.5,8' 11.5'',30.5,33.0,11.18,3.19,8699,49,28,957,.447,.466,.400,.831,16.9,6.0,1.8,1.6,1.8,4.6,,11105,14,793.2142857142857
74,2003,Dahntay Jones,SG-SF,20,76.75,214.0,81.0,102.5,8' 6.5'',30.0,39.5,10.91,3.11,8782,20,33,1014,.470,.498,.398,.749,17.7,5.5,0.9,1.2,0.5,4.8,,9768,13,751.3846153846154
75,2003,Chris Kaman,C-PF,6,83.5,252.0,83.75,110.5,9' 2.5'',23.5,30.5,11.33,3.37,7813,6,31,1055,.622,.622,0,.749,22.4,12.0,1.2,0.6,3.2,6.8,,19629,13,1509.923076923077
76,2003,Kyle Korver,SF,51,78.25,211.0,81.5,102.5,8' 6.5'',25.5,31.5,11.42,3.47,8137,51,34,1082,.468,.443,.480,.908,17.8,6.4,3.1,1.5,0.7,7.8,,31172,17,1833.6470588235295
77,2003,Dwyane Wade,SG-SF,5,75.75,212.0,82.75,102.0,8' 6'',31.5,35.0,10.56,3.08,7712,5,33,1058,.501,.519,.318,.779,21.5,6.3,4.4,2.2,1.3,6.5,,35763,16,2235.1875
78,2003,David West,PF-SF,18,80.25,226.0,88.25,108.25,9' 0.25'',28.5,31.5,12.18,3.43,8664,18,32,1168,.513,.524,.346,.816,20.1,11.8,3.2,1.3,1.6,9.7,,29120,15,1941.3333333333333
79,2003,Derrick Zimmerman,PG,40,73.0,190.0,81.0,96.25,8' .25'',34.0,40.5,11.09,3.1,8392,40,31,1024,.476,.538,.288,.649,8.9,4.2,5.5,1.9,0.8,4.5,,32,1,32.0
80,2004,Tony Allen,SG,25,75.5,214.0,81.0,102.0,8' 6'',31.5,36.5,10.7,3.19,8071,25,35,1107,.504,.550,.297,.675,16.0,5.5,3.1,2.1,0.9,6.3,,18071,14,1290.7857142857142
81,2004,Luol Deng,SF,7,79.0,220.0,84.5,108.5,9' 0.5'',27.5,31.5,11.46,3.34,7071,7,37,1149,.476,.515,.360,.710,15.1,6.9,1.8,1.3,1.1,5.6,,30953,15,2063.5333333333333
82,2004,Chris Duhon,PG,38,72.0,193.0,78.5,98.0,8' 2'',31.5,35.0,10.45,3.14,8301,38,37,1311,.448,.514,.302,.722,10.0,4.1,6.1,2.2,0.2,4.3,,15530,9,1725.5555555555557
83,2004,Luis Flores,PG-SG,55,72.5,202.0,79.5,98.5,8' 2.5'',29.0,32.0,10.97,3.1,8526,55,31,1121,.442,.478,.374,.863,24.0,3.9,1.6,1.9,0.1,6.1,,77,1,77.0
84,2004,Matt Freije,SF-PF,53,80.25,234.0,85.0,108.5,9' 0.5'',29.5,31.0,11.15,3.25,8697,53,33,985,.415,.452,.356,.788,18.4,5.4,0.9,0.7,0.6,4.6,,575,2,287.5
85,2004,Ben Gordon,PG-SG,3,73.0,192.0,80.5,99.0,8' 3'',31.5,37.5,11.28,3.19,7789,3,39,1346,.434,.434,.433,.829,18.5,4.7,4.5,1.4,0.2,7.0,,20349,11,1849.909090909091
86,2004,Devin Harris,PG,5,73.75,170.0,79.5,98.5,8' 2.5'',30.5,37.0,11.03,3.19,7752,5,32,1162,.459,.540,.373,.792,19.5,4.3,4.4,1.8,0.1,7.8,,23948,15,1596.5333333333333
87,2004,Kris Humphries,PF,14,80.25,238.0,84.5,106.5,8' 10.5'',29.5,36.0,11.33,3.2,7001,14,29,990,.444,.455,.340,.742,21.7,10.1,0.7,0.9,1.1,3.5,,14241,13,1095.4615384615386
88,2004,Jameer Nelson,PG,20,71.0,199.0,74.5,95.0,7' 11'',28.5,33.5,10.95,3.14,8099,20,32,1085,.475,.526,.390,.792,20.6,4.7,5.3,2.8,0.0,6.6,,24506,14,1750.4285714285713
89,2004,Emeka Okafor,C-PF,2,80.75,257.0,88.0,110.5,9' 2.5'',31.5,34.0,12.32,3.15,8328,2,36,1166,.599,.599,0,.518,17.6,11.5,1.0,1.0,4.1,9.9,,19050,10,1905.0
90,2004,Bernard Robinson,SG-SF,45,77.25,208.0,82.0,102.0,8' 6'',28.5,34.5,10.91,3.17,9146,45,34,1095,.432,.477,.250,.770,12.1,5.7,3.8,1.9,0.3,3.5,,1913,3,637.6666666666666
91,2004,Kirk Snyder,SG-SF,16,78.0,228.0,81.0,104.0,8' 8'',30.0,35.0,10.79,3.13,7850,16,34,1079,.431,.470,.348,.731,18.8,5.7,3.4,1.0,0.6,5.2,,3534,4,883.5
92,2004,Pape Sow,PF-C,47,80.5,233.0,86.0,108.5,9' 0.5'',28.0,31.5,12.13,3.27,8747,47,28,901,.494,.507,.333,.675,17.3,9.7,0.9,1.6,0.6,3.9,,875,3,291.6666666666667
93,2004,Jackson Vroman,PF-C,31,81.25,226.0,84.0,105.5,8' 9.5'',29.5,33.5,10.75,3.25,8581,31,32,983,.564,.573,.143,.507,13.9,9.6,2.3,1.4,0.7,4.1,,1113,2,556.5
94,2004,Delonte West,PG-SG,24,73.5,183.0,78.0,99.5,8' 3.5'',30.0,35.0,11.2,3.15,7901,24,32,1073,.510,.557,.412,.892,18.9,5.4,4.7,1.7,0.2,7.0,,11810,8,1476.25
95,2005,Alex Acker,SG,60,75.75,183.0,84.0,102.5,8' 6.5'',28.0,32.0,11.67,3.35,8081,60,31,1152,.450,.459,.431,.858,16.6,6.5,3.7,1.3,0.5,4.0,,235,2,117.5
96,2005,Andrew Bogut,C-PF,1,83.0,250.6,87.0,110.5,9' 2.5'',27.5,33.5,12.06,3.51,8023,1,35,1224,.620,.636,.360,.692,20.4,12.2,2.3,1.0,1.9,10.9,,19852,14,1418.0
97,2005,Travis Diener,PG-SG,38,71.75,165.2,71.75,93.5,7' 9.5'',24.5,31.0,10.85,3.26,8486,38,23,783,.420,.438,.405,.838,19.7,3.9,7.0,1.3,0.0,4.3,,2648,5,529.6
98,2005,Raymond Felton,PG,5,71.5,199.4,76.25,98.0,8' 2'',29.0,33.5,10.5,3.06,7871,5,36,1142,.455,.468,.440,.701,12.9,4.3,6.9,2.0,0.3,5.1,,28829,14,2059.214285714286
99,2005,Francisco Garcia,SF-SG,23,77.75,189.6,82.75,103.0,8' 7'',27.5,31.5,10.63,3.33,9151,23,38,1211,.437,.496,.366,.877,15.7,4.2,3.9,1.7,1.5,7.5,,11872,10,1187.2
100,2005,Joey Graham,SF,16,77.25,216.6,80.0,104.0,8' 8'',30.0,36.0,10.62,3.05,8586,16,33,1009,.529,.538,.473,.887,17.7,6.2,2.0,0.9,0.2,5.8,,6089,6,1014.8333333333334
101,2005,Danny Granger,,17,79.5,225.4,85.5,103.0,8' 7'',31.0,34.0,10.84,3.34,8170,17,30,900,.524,.563,.433,.755,18.8,8.9,2.4,2.1,2.0,7.6,,18439,10,1843.9
102,2005,Luther Head,PG-SG,24,74.0,178.8,77.25,98.5,8' 2.5'',31.5,38.5,11.12,3.21,8751,24,39,1297,.463,.547,.410,.788,15.9,4.0,3.8,1.7,0.2,7.2,,7806,6,1301.0
103,2005,Julius Hodge,SG-SF,20,78.0,202.2,84.5,107.5,8' 11.5'',24.5,29.0,10.89,3.18,8378,20,34,1177,.493,.530,.255,.668,17.0,6.6,4.8,1.4,0.7,5.1,,101,2,50.5
104,2005,Jarrett Jack,PG,22,74.5,197.6,79.5,100.0,8' 4'',26.0,28.5,10.87,3.24,8358,22,32,1091,.514,.549,.442,.866,15.5,4.8,4.5,1.8,0.1,6.1,,24120,13,1855.3846153846155
105,2005,David Lee,PF,30,79.75,229.5,84.0,106.5,8' 10.5'',30.5,32.5,10.8,3.19,8179,30,32,897,.525,.532,.000,.714,13.6,9.0,2.2,1.1,0.8,5.0,,24239,12,2019.9166666666667
106,2005,David Lee,PF,30,79.75,229.5,84.0,106.5,8' 10.5'',30.5,32.5,10.8,3.19,8179,30,26,824,.434,.494,.351,.737,12.5,3.8,2.4,1.3,0.2,1.6,,24239,12,2019.9166666666667
